sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,lat,long,type_apartment,type_condo,type_cottage/cabin,type_duplex,type_flat,type_house,type_in-law,type_loft,type_manufactured,type_townhouse
538,1,1.0,1,1,0,1,0,0,37.2123,-77.4814,1,0,0,0,0,0,0,0,0,0
900,2,2.0,1,1,1,0,0,0,35.0463,-85.3161,1,0,0,0,0,0,0,0,0,0
1200,3,2.0,0,0,0,0,0,0,29.9528,-93.9262,0,0,0,0,0,1,0,0,0,0
1121,3,1.0,1,1,1,0,0,0,38.6804,-121.383,0,0,0,1,0,0,0,0,0,0
770,2,1.0,1,1,1,0,0,0,36.092,-80.3224,1,0,0,0,0,0,0,0,0,0
895,2,2.0,1,1,1,0,0,0,47.6835,-117.238,1,0,0,0,0,0,0,0,0,0
678,1,1.0,1,1,1,0,0,0,40.1454,-82.9817,1,0,0,0,0,0,0,0,0,0
610,1,1.0,1,1,1,0,0,0,39.9818,-83.1457,1,0,0,0,0,0,0,0,0,0
1302,3,2.0,1,1,1,0,0,0,30.3826,-89.0976,0,0,0,0,0,1,0,0,0,0
792,1,1.0,0,0,1,0,0,0,39.0119,-95.7151,1,0,0,0,0,0,0,0,0,0
854,2,1.5,0,0,0,0,0,0,37.9823,-122.036,0,0,0,0,0,0,0,0,0,1
653,1,1.0,0,1,0,0,0,0,41.1463,-81.3477,0,0,0,0,0,1,0,0,0,0
1050,2,1.0,0,0,1,0,0,0,40.0294,-76.3364,1,0,0,0,0,0,0,0,0,0
1000,3,1.5,1,1,0,0,0,0,30.224,-97.7348,0,0,0,1,0,0,0,0,0,0
1100,3,1.0,0,0,1,0,0,0,35.2731,-81.549,1,0,0,0,0,0,0,0,0,0
1047,2,2.0,0,0,1,0,0,0,36.7031,-97.0784,1,0,0,0,0,0,0,0,0,0
960,2,2.0,1,1,1,1,0,0,35.0248,-90.0093,1,0,0,0,0,0,0,0,0,0
526,1,1.0,1,1,0,0,0,0,38.9571,-92.3735,1,0,0,0,0,0,0,0,0,0
650,1,1.0,1,1,1,0,0,0,29.1221,-81.0123,1,0,0,0,0,0,0,0,0,0
1022,2,2.0,1,1,1,0,0,0,28.915,-81.939,1,0,0,0,0,0,0,0,0,0
950,2,1.0,0,0,0,0,0,0,40.3651,-75.3177,0,1,0,0,0,0,0,0,0,0
791,1,1.0,1,1,0,0,0,0,33.9557,-117.688,1,0,0,0,0,0,0,0,0,0
1607,3,2.5,1,0,1,0,0,0,48.0451,-122.114,0,0,0,0,0,1,0,0,0,0
693,1,1.0,1,1,0,0,0,0,32.4137,-88.673,1,0,0,0,0,0,0,0,0,0
250,1,1.0,0,0,0,1,0,1,35.7346,-81.7042,0,0,1,0,0,0,0,0,0,0
1298,3,2.0,1,1,1,0,0,0,35.5376,-82.7001,1,0,0,0,0,0,0,0,0,0
1042,2,1.0,1,1,1,0,0,0,41.8204,-73.0264,0,0,0,0,0,1,0,0,0,0
1100,2,2.0,1,1,1,0,0,0,30.511,-88.9681,1,0,0,0,0,0,0,0,0,0
900,2,1.0,1,1,1,0,0,0,30.6371,-96.3773,1,0,0,0,0,0,0,0,0,0
400,0,1.0,1,1,0,0,0,0,41.2485,-95.9545,1,0,0,0,0,0,0,0,0,0
275,0,1.0,0,0,0,0,0,0,33.5865,-101.861,1,0,0,0,0,0,0,0,0,0
793,1,1.0,0,0,1,0,0,0,39.011,-96.8583,1,0,0,0,0,0,0,0,0,0
1014,2,2.0,1,1,1,0,0,0,34.2651,-77.867,1,0,0,0,0,0,0,0,0,0
1250,2,2.5,1,1,0,0,0,0,36.8716,-119.77,1,0,0,0,0,0,0,0,0,0
733,1,1.0,1,1,1,1,0,0,34.8093,-90.3052,1,0,0,0,0,0,0,0,0,0
871,1,1.0,0,0,1,0,0,0,39.8188,-75.5064,1,0,0,0,0,0,0,0,0,0
786,1,1.0,1,1,1,1,0,0,39.0762,-76.6996,1,0,0,0,0,0,0,0,0,0
375,0,1.0,1,1,1,0,0,0,35.14,-106.551,1,0,0,0,0,0,0,0,0,0
1014,2,2.0,1,1,0,0,0,0,36.9745,-86.4199,1,0,0,0,0,0,0,0,0,0
1156,2,1.5,1,1,0,0,0,0,33.1563,-87.5607,0,0,0,0,0,0,0,0,0,1
981,2,2.0,1,1,1,0,0,0,32.9727,-80.0784,1,0,0,0,0,0,0,0,0,0
790,2,1.0,0,0,1,0,0,0,35.4057,-97.5181,1,0,0,0,0,0,0,0,0,0
708,1,1.0,1,1,1,1,0,0,34.1039,-118.332,1,0,0,0,0,0,0,0,0,0
1288,3,1.0,0,0,0,0,0,0,36.1151,-94.0489,0,0,0,1,0,0,0,0,0,0
1495,2,2.0,1,1,0,0,0,0,43.1873,-89.3225,1,0,0,0,0,0,0,0,0,0
300,1,1.0,0,0,1,0,0,1,48.2602,-101.297,1,0,0,0,0,0,0,0,0,0
2220,4,2.5,1,1,1,0,0,0,29.5132,-98.7475,0,0,0,0,0,1,0,0,0,0
663,1,1.0,1,1,1,0,0,0,27.7391,-97.3679,1,0,0,0,0,0,0,0,0,0
480,0,1.0,1,1,1,0,0,0,39.2133,-94.5743,1,0,0,0,0,0,0,0,0,0
761,2,1.0,1,1,1,0,0,0,40.098,-74.9583,1,0,0,0,0,0,0,0,0,0
629,1,1.0,1,1,1,0,0,0,39.5806,-104.984,1,0,0,0,0,0,0,0,0,0
688,1,1.0,1,1,1,0,0,0,32.3791,-86.2053,1,0,0,0,0,0,0,0,0,0
900,2,1.0,1,0,1,0,0,0,47.6245,-122.323,1,0,0,0,0,0,0,0,0,0
950,2,1.0,0,0,0,0,0,0,39.1894,-96.5882,1,0,0,0,0,0,0,0,0,0
1000,2,1.0,1,1,1,0,0,0,30.2956,-89.4632,0,0,0,1,0,0,0,0,0,0
2022,3,3.0,0,0,1,0,0,0,33.7644,-116.34,0,0,0,0,0,1,0,0,0,0
1612,2,2.0,0,0,1,0,0,0,39.7394,-75.5578,1,0,0,0,0,0,0,0,0,0
857,1,1.0,1,0,0,0,0,0,40.1524,-105.131,1,0,0,0,0,0,0,0,0,0
550,1,1.0,0,0,1,1,0,0,35.6559,-88.8416,1,0,0,0,0,0,0,0,0,0
1302,3,2.0,1,1,1,0,0,0,27.3875,-82.4714,1,0,0,0,0,0,0,0,0,0
570,0,1.0,1,1,1,0,0,0,44.0571,-121.277,1,0,0,0,0,0,0,0,0,0
1614,3,2.5,0,0,0,0,0,0,46.3257,-119.307,1,0,0,0,0,0,0,0,0,0
1115,2,2.0,1,1,0,0,0,0,39.8854,-105.114,1,0,0,0,0,0,0,0,0,0
900,2,1.0,1,1,1,0,0,0,43.0463,-89.4966,1,0,0,0,0,0,0,0,0,0
1189,2,2.0,0,0,1,0,0,0,38.8776,-77.3885,1,0,0,0,0,0,0,0,0,0
960,2,2.0,1,1,1,0,0,0,32.4316,-80.6698,1,0,0,0,0,0,0,0,0,0
790,2,1.0,1,1,1,0,0,0,39.739,-84.0856,1,0,0,0,0,0,0,0,0,0
780,1,1.0,1,1,1,0,0,0,33.6529,-117.673,1,0,0,0,0,0,0,0,0,0
925,2,1.0,0,0,1,0,0,0,40.439,-80.0052,1,0,0,0,0,0,0,0,0,0
687,1,1.0,1,1,0,0,0,0,44.9496,-93.086,1,0,0,0,0,0,0,0,0,0
1070,2,2.0,0,0,1,0,0,0,30.2304,-81.5675,1,0,0,0,0,0,0,0,0,0
3376,5,3.0,0,1,1,0,0,0,27.7505,-97.405,0,0,0,0,0,1,0,0,0,0
760,1,1.0,1,1,1,0,0,0,35.2562,-80.8046,1,0,0,0,0,0,0,0,0,0
1201,1,1.0,1,1,1,1,0,0,41.9984,-71.5763,1,0,0,0,0,0,0,0,0,0
1036,2,1.0,1,1,0,0,0,0,30.6692,-88.1975,1,0,0,0,0,0,0,0,0,0
600,1,1.0,1,1,0,0,0,0,41.6973,-86.2602,1,0,0,0,0,0,0,0,0,0
1896,3,2.0,0,1,1,0,0,0,41.0835,-81.5674,1,0,0,0,0,0,0,0,0,0
879,1,1.0,1,1,1,0,0,0,34.2216,-119.08,1,0,0,0,0,0,0,0,0,0
512,1,1.0,1,1,1,0,0,0,38.0936,-78.5611,1,0,0,0,0,0,0,0,0,0
601,1,1.0,1,1,0,0,1,0,37.9271,-122.052,1,0,0,0,0,0,0,0,0,0
855,1,1.0,1,1,0,0,0,0,42.9751,-87.8947,1,0,0,0,0,0,0,0,0,0
941,1,1.0,0,0,1,0,0,0,43.6537,-93.3707,1,0,0,0,0,0,0,0,0,0
500,1,1.0,1,0,0,0,0,0,44.9635,-93.2954,1,0,0,0,0,0,0,0,0,0
950,2,2.0,0,0,0,0,0,0,33.4484,-112.074,1,0,0,0,0,0,0,0,0,0
470,1,1.0,1,1,0,0,0,0,61.1695,-149.838,1,0,0,0,0,0,0,0,0,0
960,2,1.0,1,1,1,0,0,0,31.2668,-85.3971,1,0,0,0,0,0,0,0,0,0
910,2,2.0,1,1,1,0,0,0,32.9727,-80.0784,1,0,0,0,0,0,0,0,0,0
1130,2,2.0,1,1,0,0,0,0,39.0934,-76.7098,1,0,0,0,0,0,0,0,0,0
1066,2,2.0,1,1,1,0,0,0,38.5222,-90.3021,1,0,0,0,0,0,0,0,0,0
868,2,2.0,1,1,1,0,0,0,32.2576,-110.936,1,0,0,0,0,0,0,0,0,0
1000,2,1.5,1,1,1,0,0,0,30.6045,-96.3123,1,0,0,0,0,0,0,0,0,0
1152,2,2.0,1,1,1,0,0,0,34.8011,-77.422,1,0,0,0,0,0,0,0,0,0
456,0,1.0,0,0,1,0,0,0,39.4019,-76.6021,1,0,0,0,0,0,0,0,0,0
741,1,1.0,1,1,0,0,0,0,34.1818,-118.763,1,0,0,0,0,0,0,0,0,0
728,2,1.0,0,0,0,0,0,0,21.3452,-157.903,1,0,0,0,0,0,0,0,0,0
1003,2,2.0,1,1,1,0,0,0,33.8944,-117.52,1,0,0,0,0,0,0,0,0,0
699,1,1.0,0,0,1,0,0,0,40.4062,-105.03,1,0,0,0,0,0,0,0,0,0
690,2,1.0,0,0,1,0,0,0,38.8733,-94.7752,1,0,0,0,0,0,0,0,0,0
815,2,2.0,1,1,0,0,0,0,32.2214,-111.026,1,0,0,0,0,0,0,0,0,0
652,1,1.0,1,1,1,0,0,0,35.0518,-89.918,1,0,0,0,0,0,0,0,0,0
1200,2,1.5,1,1,1,0,0,0,35.5102,-97.6106,1,0,0,0,0,0,0,0,0,0
750,1,1.0,1,1,1,0,0,0,35.149,-89.9264,1,0,0,0,0,0,0,0,0,0
1456,3,2.0,0,0,1,0,0,0,36.1428,-80.3069,1,0,0,0,0,0,0,0,0,0
1146,2,2.0,1,1,1,0,0,0,29.1994,-81.0376,1,0,0,0,0,0,0,0,0,0
841,1,1.0,0,0,1,0,0,0,31.9925,-102.13,1,0,0,0,0,0,0,0,0,0
850,1,1.0,1,1,0,0,0,0,33.4717,-82.0834,1,0,0,0,0,0,0,0,0,0
708,1,1.0,0,0,1,0,0,0,38.6148,-121.272,1,0,0,0,0,0,0,0,0,0
1162,2,2.0,1,1,1,0,0,0,30.2271,-81.562,1,0,0,0,0,0,0,0,0,0
1237,3,2.0,1,1,1,0,0,0,40.177,-111.536,1,0,0,0,0,0,0,0,0,0
910,2,1.0,1,1,0,0,0,0,43.6126,-116.183,1,0,0,0,0,0,0,0,0,0
449,0,1.0,1,1,0,0,0,0,35.0853,-106.658,1,0,0,0,0,0,0,0,0,0
1225,3,3.0,1,1,1,0,0,0,34.2366,-118.476,0,0,0,0,0,0,0,0,0,1
1572,3,2.0,1,1,1,0,0,0,33.4226,-86.7065,1,0,0,0,0,0,0,0,0,0
966,2,1.0,0,0,1,0,0,0,30.3423,-97.6673,1,0,0,0,0,0,0,0,0,0
964,2,2.0,1,1,1,0,0,0,35.5393,-82.518,1,0,0,0,0,0,0,0,0,0
1000,2,1.0,0,0,0,0,0,0,42.9939,-78.8719,1,0,0,0,0,0,0,0,0,0
1198,2,2.0,0,0,1,0,0,0,33.9788,-84.3487,1,0,0,0,0,0,0,0,0,0
2017,5,2.5,1,1,1,0,0,0,36.768,-119.814,1,0,0,0,0,0,0,0,0,0
919,2,1.5,1,0,1,0,0,0,41.5545,-81.4881,1,0,0,0,0,0,0,0,0,0
755,2,2.0,1,1,1,1,0,0,34.1572,-77.9141,1,0,0,0,0,0,0,0,0,0
725,1,1.0,1,1,1,0,0,0,42.377,-87.8693,1,0,0,0,0,0,0,0,0,0
874,2,2.0,1,1,1,0,0,0,40.7111,-89.6324,1,0,0,0,0,0,0,0,0,0
1444,3,2.0,1,1,1,0,0,0,35.0176,-82.0225,1,0,0,0,0,0,0,0,0,0
844,1,1.0,1,1,0,0,0,0,33.0714,-96.7101,1,0,0,0,0,0,0,0,0,0
784,1,1.0,0,0,1,0,0,0,45.2007,-67.5929,1,0,0,0,0,0,0,0,0,0
1200,2,2.0,1,1,1,0,0,0,41.2312,-96.0541,1,0,0,0,0,0,0,0,0,0
800,1,1.0,1,1,1,0,0,1,39.6408,-75.5142,1,0,0,0,0,0,0,0,0,0
916,2,1.0,1,1,1,0,0,0,43.2372,-86.1841,1,0,0,0,0,0,0,0,0,0
684,1,1.0,1,1,0,0,0,0,42.9045,-85.5978,1,0,0,0,0,0,0,0,0,0
875,2,1.0,1,1,1,0,0,0,32.2352,-110.863,1,0,0,0,0,0,0,0,0,0
1300,3,2.0,1,1,0,1,0,0,29.2971,-94.8002,1,0,0,0,0,0,0,0,0,0
900,1,1.0,1,1,0,0,0,1,42.7975,-83.7045,0,1,0,0,0,0,0,0,0,0
1100,2,2.0,1,1,1,0,0,0,26.5421,-81.9006,1,0,0,0,0,0,0,0,0,0
600,1,1.0,1,1,1,0,0,0,30.619,-96.3185,1,0,0,0,0,0,0,0,0,0
870,1,1.0,1,1,1,0,0,0,40.0199,-76.3513,1,0,0,0,0,0,0,0,0,0
1100,2,2.0,1,1,1,0,0,0,29.9654,-90.204,1,0,0,0,0,0,0,0,0,0
879,2,1.0,1,1,1,0,0,1,35.1421,-89.9281,1,0,0,0,0,0,0,0,0,0
405,0,1.0,0,0,1,0,0,0,41.2691,-95.9424,1,0,0,0,0,0,0,0,0,0
950,3,1.0,0,0,1,0,0,0,39.9745,-75.2391,1,0,0,0,0,0,0,0,0,0
1050,4,1.5,0,0,0,0,0,0,43.0128,-83.6914,0,0,0,0,0,1,0,0,0,0
1124,2,1.5,1,1,0,0,0,0,40.3351,-75.875,1,0,0,0,0,0,0,0,0,0
1100,2,1.5,1,1,1,0,0,0,35.0514,-89.8987,1,0,0,0,0,0,0,0,0,0
550,0,1.0,0,0,0,0,0,0,39.4972,-119.776,1,0,0,0,0,0,0,0,0,0
882,1,1.0,1,1,1,0,0,0,39.6012,-104.739,1,0,0,0,0,0,0,0,0,0
790,1,1.0,0,0,0,0,0,0,40.1904,-88.3958,1,0,0,0,0,0,0,0,0,0
971,2,2.0,0,0,1,0,0,0,34.0763,-117.625,1,0,0,0,0,0,0,0,0,0
568,1,1.0,1,1,0,0,0,0,40.731,-111.891,1,0,0,0,0,0,0,0,0,0
387,0,1.0,1,1,1,0,0,0,41.8449,-86.25,1,0,0,0,0,0,0,0,0,0
1100,2,2.0,1,1,1,0,0,0,40.3191,-88.1365,0,0,0,0,0,0,0,0,0,1
865,1,1.0,1,1,1,0,0,0,33.0581,-96.7964,1,0,0,0,0,0,0,0,0,0
970,3,2.0,0,0,1,0,0,0,35.3866,-119.017,1,0,0,0,0,0,0,0,0,0
868,2,1.0,0,0,1,0,0,0,40.2992,-73.9912,0,1,0,0,0,0,0,0,0,0
1600,3,2.0,1,1,0,0,0,0,32.9452,-117.247,0,0,0,0,0,1,0,0,0,0
620,1,1.0,1,1,1,0,0,0,39.3402,-84.3998,1,0,0,0,0,0,0,0,0,0
900,4,2.0,0,0,1,0,0,0,40.5891,-75.4645,0,0,0,0,0,1,0,0,0,0
540,1,1.0,1,1,1,0,0,0,30.2651,-97.7828,1,0,0,0,0,0,0,0,0,0
1510,3,2.0,1,1,1,0,0,0,30.4077,-90.1315,1,0,0,0,0,0,0,0,0,0
769,2,1.0,1,1,1,1,0,0,43.2329,-86.1885,0,0,0,0,0,1,0,0,0,0
650,1,1.0,0,0,1,0,0,0,29.9773,-90.0927,1,0,0,0,0,0,0,0,0,0
660,1,1.0,1,1,1,0,0,0,36.9906,-86.4231,1,0,0,0,0,0,0,0,0,0
1601,4,2.5,1,1,1,0,0,0,33.7106,-86.3751,0,0,0,0,0,1,0,0,0,0
1255,2,1.5,1,1,0,0,0,0,32.3724,-86.2052,1,0,0,0,0,0,0,0,0,0
750,1,1.0,1,1,1,0,0,0,38.9941,-84.642,1,0,0,0,0,0,0,0,0,0
1000,1,1.0,1,1,1,0,0,0,44.1811,-88.4792,1,0,0,0,0,0,0,0,0,0
1009,2,1.0,1,1,1,0,0,0,33.3755,-86.8045,1,0,0,0,0,0,0,0,0,0
1451,3,2.5,1,1,1,0,0,0,38.3796,-77.5349,1,0,0,0,0,0,0,0,0,0
805,1,1.0,1,1,1,0,0,0,28.6625,-81.4117,1,0,0,0,0,0,0,0,0,0
1800,3,2.0,1,1,1,0,0,0,34.3879,-77.6628,0,0,0,0,0,1,0,0,0,0
1048,2,2.0,1,1,1,0,0,0,39.3012,-77.8425,1,0,0,0,0,0,0,0,0,0
1200,3,1.0,0,0,1,0,0,0,35.7267,-80.2184,0,0,0,0,0,0,0,0,1,0
1256,3,2.0,1,1,1,0,0,0,41.7014,-86.0187,0,0,0,0,0,0,0,0,1,0
1600,3,2.0,1,1,1,0,0,0,33.2711,-111.831,0,0,0,0,0,1,0,0,0,0
1426,2,1.0,0,0,1,0,0,0,36.0501,-83.9226,1,0,0,0,0,0,0,0,0,0
1300,3,2.0,1,1,1,0,0,0,31.5789,-84.2118,1,0,0,0,0,0,0,0,0,0
430,0,1.0,1,1,1,1,0,1,38.2498,-85.756,1,0,0,0,0,0,0,0,0,0
840,1,1.0,0,0,1,0,0,0,27.2427,-82.4751,1,0,0,0,0,0,0,0,0,0
744,1,1.0,0,0,1,0,0,0,33.4003,-111.866,1,0,0,0,0,0,0,0,0,0
1269,3,1.5,1,1,0,0,0,0,44.3739,-89.8079,0,0,0,0,0,0,0,0,0,1
650,1,1.0,1,1,0,0,0,0,40.7776,-111.875,1,0,0,0,0,0,0,0,0,0
992,2,2.0,1,1,1,0,0,0,37.6781,-120.94,1,0,0,0,0,0,0,0,0,0
2107,3,3.0,0,0,1,0,0,0,40.0018,-75.1179,0,1,0,0,0,0,0,0,0,0
1675,4,1.5,0,0,0,0,0,0,46.236,-112.78,0,0,0,0,0,1,0,0,0,0
1485,3,2.0,1,1,1,0,0,0,33.0073,-111.932,0,0,0,0,0,1,0,0,0,0
1690,3,2.0,1,1,1,0,0,0,40.75,-96.6644,1,0,0,0,0,0,0,0,0,0
1195,2,2.0,1,1,1,0,0,0,40.8192,-96.7509,1,0,0,0,0,0,0,0,0,0
884,2,1.0,1,1,1,0,0,0,43.6893,-70.2791,1,0,0,0,0,0,0,0,0,0
567,0,1.0,0,0,1,0,0,0,38.9799,-76.5235,1,0,0,0,0,0,0,0,0,0
1020,2,1.0,1,1,1,0,0,0,42.9937,-71.4727,1,0,0,0,0,0,0,0,0,0
910,1,1.0,1,1,1,1,0,0,28.072,-81.9609,1,0,0,0,0,0,0,0,0,0
1084,2,2.0,1,1,1,0,0,0,32.7492,-96.8389,1,0,0,0,0,0,0,0,0,0
770,2,1.0,0,0,1,0,0,0,32.7062,-117.094,1,0,0,0,0,0,0,0,0,0
2500,4,2.0,0,0,0,0,0,0,41.8276,-71.3955,1,0,0,0,0,0,0,0,0,0
1200,2,1.0,1,1,1,0,0,0,47.5495,-122.277,1,0,0,0,0,0,0,0,0,0
977,1,1.0,1,1,1,0,0,0,41.7079,-81.199,1,0,0,0,0,0,0,0,0,0
1375,3,2.0,1,1,1,0,0,0,33.7422,-118.393,1,0,0,0,0,0,0,0,0,0
1800,3,1.0,0,0,0,0,0,1,34.2736,-82.0703,0,0,0,0,0,1,0,0,0,0
964,2,2.0,1,1,1,0,0,0,35.5393,-82.518,1,0,0,0,0,0,0,0,0,0
908,2,2.0,1,1,1,0,0,0,34.7902,-92.5044,1,0,0,0,0,0,0,0,0,0
1250,3,2.0,1,1,1,0,0,0,41.1377,-81.5539,1,0,0,0,0,0,0,0,0,0
428,0,1.0,1,1,1,0,0,0,,,1,0,0,0,0,0,0,0,0,0
553,1,1.0,1,1,1,0,0,0,47.8911,-97.062,1,0,0,0,0,0,0,0,0,0
875,1,1.0,1,1,0,0,0,0,39.3741,-74.6118,1,0,0,0,0,0,0,0,0,0
538,1,1.0,0,0,1,0,0,0,41.2691,-95.9424,1,0,0,0,0,0,0,0,0,0
750,2,1.0,1,1,1,0,0,0,47.8971,-97.0511,1,0,0,0,0,0,0,0,0,0
739,3,1.0,1,1,1,0,0,0,34.7583,-77.4126,1,0,0,0,0,0,0,0,0,0
1531,3,2.0,1,1,1,0,0,0,32.3144,-80.9794,1,0,0,0,0,0,0,0,0,0
932,2,1.5,0,0,1,0,0,0,39.1989,-76.6225,1,0,0,0,0,0,0,0,0,0
1800,3,1.0,1,1,0,0,0,0,38.2767,-104.576,0,0,0,0,0,1,0,0,0,0
1009,1,1.5,1,1,1,0,0,0,39.9478,-74.9036,1,0,0,0,0,0,0,0,0,0
825,2,1.0,1,1,1,0,0,0,43.0145,-78.8482,1,0,0,0,0,0,0,0,0,0
1464,3,2.5,1,1,1,0,0,0,41.747,-111.823,0,0,0,0,0,0,0,0,0,1
1144,2,2.0,1,1,1,0,0,0,33.5004,-82.0648,1,0,0,0,0,0,0,0,0,0
1780,3,1.0,1,1,0,0,0,0,40.3107,-88.1462,1,0,0,0,0,0,0,0,0,0
765,1,1.0,0,0,1,0,0,0,30.2193,-81.6069,1,0,0,0,0,0,0,0,0,0
733,1,1.0,1,1,0,0,0,0,46.8759,-96.7919,1,0,0,0,0,0,0,0,0,0
625,1,1.0,1,1,1,0,0,0,43.4596,-84.0185,1,0,0,0,0,0,0,0,0,0
